provider_location_guid,loc_name,loc_phone,loc_admin_street1,loc_admin_state,latitude,longitude
db1ff2e9-ccdd-4b56-a05f-f2d495ce6b93,Norwood Pharmacy #224772,781-349-8895,54 BROADWAY,MA,42.191962,-71.198913
e08f5ee2-4fea-4bd3-addb-c68b79313d03,Walgreens Co. #9319,781-393-5693,49 STATION LNDG,MA,42.404186,-71.080819
5e930b0d-f970-45a9-be1a-10d975d86392,SULLIVANS PHARMACY and MEDICAL SUPP #MS1000614,(617) 323-6544,1 CORINTH ST,MA,42.286654,-71.130749
e909096e-ceef-4fa9-b254-e5abf6db5847,MinuteClinic #20776,7818268381,207 ROCKLAND ST,MA,42.11391,-70.820078
b6c2750a-495b-4a03-bb20-cdae68637a30,RMG Pharmacy #MS1004833,(774) 318-1187,11-15 Sandersdale Road,MA,42.066254,-72.008019
dbfae69d-fbc6-468e-acac-67dfb73ddbcd,Walgreens Co. #15193,413-774-5468,329 CONWAY ST,MA,42.603061,-72.609896
181ea9a5-27ff-4a22-b24a-2015640a3b30,Walgreens Co. #1871,617-964-0231,22 LANGLEY RD,MA,42.331163,-71.193355
f7b2fe5b-1b58-41f7-b736-d7177357cbc3,Walgreens Co. #17875,508-842-8400,557 MAIN STREET,MA,42.296721,-71.715118
fe5010a7-5a8c-4e0b-b531-9b56cd172661,Walgreens Co. #17837,508-771-6511,360 BARNSTABLE RD,MA,41.662714,-70.283896
181ea9a5-27ff-4a22-b24a-2015640a3b30,Walgreens Co. #1871,617-964-0231,22 LANGLEY RD,MA,42.331163,-71.193355
bcec97e4-4c5a-4827-9c41-49f4f036d1c4,WHOLE HEALTH PHARMACY #224477,(508) 778-5928,596 W MAIN ST,MA,41.652145,-70.317121
50ab0195-b84b-4f57-92d6-7d5f63e4474e,Walgreens Co. #2268,413-733-3002,50 SAINT JAMES BLVD,MA,42.135332,-72.569437
68937701-1112-4a68-89a3-f4edd1930a20,MinuteClinic #20764,7813964770,85 HIGH ST,MA,42.419046,-71.112265
bcec97e4-4c5a-4827-9c41-49f4f036d1c4,WHOLE HEALTH PHARMACY #224477,(508) 778-5928,596 W MAIN ST,MA,41.652145,-70.317121
abf12929-3b8e-47cb-b31e-bb5aeb20519f,Seaside Pharmacy Inc,(781) 284-6525,169 Shirley Ave,MA,42.407321,-70.994546
5952cf45-46b6-47a2-aed7-88ce2baf7175,MinuteClinic #21267,5088241361,266 NEW STATE HWY,MA,41.905758,-71.055998
43149250-dc4f-42c3-b274-a18b2083e87a,Walgreens Co. #19742,413-445-5030,163 SOUTH ST,MA,42.444558,-73.254467
50ab0195-b84b-4f57-92d6-7d5f63e4474e,Walgreens Co. #2268,413-733-3002,50 SAINT JAMES BLVD,MA,42.135332,-72.569437
6a869cbd-f2af-4b2e-81c2-39ef696d4c67,Betterlife Pharmacy #2247814,978-258-5828,246 BROADWAY UNIT 2,MA,42.725491,-71.185976
e08f5ee2-4fea-4bd3-addb-c68b79313d03,Walgreens Co. #9319,781-393-5693,49 STATION LNDG,MA,42.404186,-71.080819
19ef5320-2521-4f71-a807-f14d704c68d3,Whittier Health Pharmacy II #2244541,(617) 652-7679,278 Blue Hill Avenue Suite 288,MA,42.314746,-71.078485
a775e869-740b-42f6-948b-28e974eb21c1,Harvard St Neighborhood Health Ctr,,632 Blue Hill Ave.,MA,42.302505,-71.085109
ca65cf2f-a309-4a26-aa5f-f0c3b186d09a,Arrow Prescription Center,413-568-8911,427 NORTH ELM STREET,MA,42.139904,-72.733961
af8f71ab-9e1e-45e8-ae3b-c0e29d225dfd,MinuteClinic #20785,9784700542,68 MAIN ST,MA,42.655105,-71.139189
1f0e5a78-5bb6-48d2-be3e-8f708726506c,MinuteClinic #20753,7815856581,189 SUMMER ST,MA,42.012289,-70.731994
1e371e16-598f-48bd-98ed-d260284de34c,MinuteClinic #21373,5082485473,142 WORCESTER RD,MA,42.14504,-71.968568
bcec97e4-4c5a-4827-9c41-49f4f036d1c4,WHOLE HEALTH PHARMACY #224477,(508) 778-5928,596 W MAIN ST,MA,41.652145,-70.317121
31a8d863-ae71-4651-aebc-ee38151d1797,Nantasket Pharmacy Inc #2227103,781-925-1270,480 Nantasket Avenue,MA,42.281894,-70.8728
c6ba075b-c2a8-4584-adc7-668c1e486440,CURE-AID PHARMACY #MS1001339,(978) 984-5285,203 ESSEX ST,MA,42.707922,-71.158603
e08f5ee2-4fea-4bd3-addb-c68b79313d03,Walgreens Co. #9319,781-393-5693,49 STATION LNDG,MA,42.404186,-71.080819
9e0907a8-4304-4f45-9743-efdb3e1ff4f7,Milford Central Pharmacy,508-381-2740,105 E MAIN ST,MA,42.148185,-71.509151
3c736d1b-5887-4777-9d5c-8023a80196bf,DUVALS PHARMACY #MS1002578,(781) 447-0606,571 WASHINGTON ST,MA,42.080536,-70.937115
e08f5ee2-4fea-4bd3-addb-c68b79313d03,Walgreens Co. #9319,781-393-5693,49 STATION LNDG,MA,42.404186,-71.080819
3c736d1b-5887-4777-9d5c-8023a80196bf,DUVALS PHARMACY #MS1002578,(781) 447-0606,571 WASHINGTON ST,MA,42.080536,-70.937115
43149250-dc4f-42c3-b274-a18b2083e87a,Walgreens Co. #19742,413-445-5030,163 SOUTH ST,MA,42.444558,-73.254467
e2fb7815-fdf2-405c-b676-69cfe70d776b,Greater New Bedford CHC Inc,,874 PURCHASE ST,MA,41.636224,-70.925747
4a426672-ca19-4c5e-9b0c-6442ad4d2cc6,Huntington Health Center,,73 RUSSELL RD,MA,42.224484,-72.870979
c6ba075b-c2a8-4584-adc7-668c1e486440,CURE-AID PHARMACY #MS1001339,(978) 984-5285,203 ESSEX ST,MA,42.707922,-71.158603
e6ae7070-b8ad-499f-9629-80739ebdc50a,McNabb Pharmacy,978-597-2392,233 MAIN STREET,MA,42.666166,-71.703927
f7b2fe5b-1b58-41f7-b736-d7177357cbc3,Walgreens Co. #17875,508-842-8400,557 MAIN STREET,MA,42.296721,-71.715118
093690ba-42aa-4e19-a890-3249df38dde7,Walgreens Co. #18338,978-937-0030,121 CHURCH ST,MA,42.640502,-71.305888
abf12929-3b8e-47cb-b31e-bb5aeb20519f,Seaside Pharmacy Inc,(781) 284-6525,169 Shirley Ave,MA,42.407321,-70.994546
1227f31e-75bd-46a2-9803-d1bf2b687086,V-Care Pharmacy of Chestnut Hill,617-440-9622,1244 BOYLSTON ST,MA,42.322288,-71.166667
97c9000a-f229-4c26-ab03-d49676beb7cb,MinuteClinic #20783,7813401124,1515 COMMERCIAL ST,MA,42.215745,-70.920964
181ea9a5-27ff-4a22-b24a-2015640a3b30,Walgreens Co. #1871,617-964-0231,22 LANGLEY RD,MA,42.331163,-71.193355
f7b2fe5b-1b58-41f7-b736-d7177357cbc3,Walgreens Co. #17875,508-842-8400,557 MAIN STREET,MA,42.296721,-71.715118
